time, Quad.IMU.AX
5.454787,0.461229
5.459787,-1.116673
5.464787,0.705280
5.469786,-0.165017
5.474786,0.018327
5.479785,-0.741022
5.484785,0.441307
5.489785,-0.152741
5.494784,0.598641
5.499784,-0.165500
5.504784,0.222265
5.509783,0.005123
5.514783,0.515692
5.519783,-0.315373
5.524782,1.060151
5.529782,0.532134
5.534781,-0.314196
5.539781,0.150490
5.544781,-0.124571
5.549780,-1.323344
5.554780,0.198459
5.559780,-0.108605
5.564779,0.018900
5.569779,-0.163178
5.574779,-0.242694
5.579778,-0.464940
5.584778,-0.445092
5.589777,-0.522345
5.594777,0.221378
5.599777,0.114341
5.604776,0.010747
5.609776,-0.234837
5.614776,0.025424
5.619775,-1.168850
5.624775,-0.015322
5.629775,-0.253501
5.634774,0.130648
5.639774,0.000727
5.644773,0.101113
5.649773,-0.516252
5.654773,0.420742
5.659772,0.229777
5.664772,-0.109182
5.669772,-0.688973
5.674771,0.079670
5.679771,-0.138372
5.684771,1.171775
5.689770,-0.283971
5.694770,0.567035
5.699769,0.505742
5.704769,-0.434540
5.709769,-1.331305
5.714768,0.983127
5.719768,-0.645586
5.724768,0.648593
5.729767,-0.163113
5.734767,-0.085077
5.739767,0.315747
5.744766,-0.647500
5.749766,-0.422454
5.754766,-0.771864
5.759765,0.102241
5.764765,-0.627552
5.769764,-0.492966
5.774764,-0.148264
5.779764,0.291527
5.784763,1.106297
5.789763,-0.676318
5.794763,0.184670
5.799762,-0.062737
5.804762,-0.141268
5.809762,0.256487
5.814761,0.272885
5.819761,-0.659940
5.824760,0.156129
5.829760,0.138198
5.834760,-0.400416
5.839759,-0.015325
5.844759,0.291471
5.849759,0.546247
5.854758,0.691272
5.859758,-1.188181
5.864758,0.091319
5.869757,1.348757
5.874757,-0.435146
5.879756,-0.636773
5.884756,0.716461
5.889756,0.264199
5.894755,0.519932
5.899755,0.219628
5.904755,-0.550510
5.909754,0.051613
5.914754,-0.687817
5.919754,0.198318
5.924753,0.341381
5.929753,-0.043198
5.934752,0.300007
5.939752,-0.137807
5.944752,0.102422
5.949751,-0.355562
5.954751,0.224724
5.959751,-0.395041
5.964750,-0.115916
5.969750,-0.145998
5.974750,-0.390521
5.979749,-0.430308
5.984749,-0.072143
5.989748,-0.339594
5.994748,0.249593
5.999748,0.660619
6.004747,0.942385
6.009747,0.828736
6.014747,-1.081236
6.019746,-0.202580
6.024746,0.331948
6.029746,-0.727144
6.034745,-0.125589
6.039745,0.418715
6.044744,0.137250
6.049744,-0.015698
6.054744,-0.261503
6.059743,-0.631585
6.064743,-0.134229
6.069743,0.728573
6.074742,-0.963466
6.079742,-0.511395
6.084742,-1.068489
6.089741,0.502100
6.094741,-0.245592
6.099741,-0.404483
6.104740,-0.075977
6.109740,-0.274561
6.114739,0.670667
6.119739,0.788077
6.124739,-1.110041
6.129738,-0.531212
6.134738,0.678489
6.139738,-0.223965
6.144737,0.180334
6.149737,0.146976
6.154737,-1.210752
6.159736,-1.121274
6.164736,0.339564
6.169735,-0.527438
6.174735,-0.183290
6.179735,0.333468
6.184734,0.339703
6.189734,-1.816921
6.194734,0.123060
6.199733,0.042452
6.204733,0.280740
6.209733,0.216574
6.214732,-0.187117
6.219732,0.363394
6.224731,0.027268
6.229731,0.241659
6.234731,0.170542
6.239730,-0.302223
6.244730,0.766494
6.249730,0.296427
6.254729,0.807797
6.259729,0.142290
6.264729,-0.173890
6.269728,0.061539
6.274728,0.644820
6.279727,0.695874
6.284727,0.296532
6.289727,-0.149110
6.294726,0.419055
6.299726,-0.111427
6.304726,-0.044512
6.309725,-0.268658
6.314725,0.538475
6.319725,-0.435593
6.324724,0.804850
6.329724,-0.058416
6.334723,-0.628693
6.339723,0.308621
6.344723,-0.927267
6.349722,0.016098
6.354722,-0.121413
6.359722,-0.751885
6.364721,-0.529656
6.369721,-0.219636
6.374721,0.053094
6.379720,-0.232954
6.384720,-0.867242
6.389719,1.016988
6.394719,-0.024164
6.399719,0.003721
6.404718,-0.388255
6.409718,0.004257
6.414718,0.264083
6.419717,-0.224836
6.424717,-0.004957
6.429717,-0.043671
6.434716,-0.221547
6.439716,-0.113973
6.444715,0.089882
6.449715,-0.012885
6.454715,-0.627497
6.459714,-0.123835
6.464714,-0.526629
6.469714,-0.004973
6.474713,0.972789
6.479713,0.059202
6.484713,-0.159120
6.489712,0.568488
6.494712,-0.494865
6.499712,-0.160588
6.504711,0.276750
6.509711,0.086564
6.514710,0.241513
6.519710,-0.544627
6.524710,0.144701
6.529709,0.982406
6.534709,0.412216
6.539709,0.036918
6.544708,-0.217978
6.549708,0.187479
6.554708,0.482803
6.559707,-0.140289
6.564707,0.200606
6.569706,-0.486095
6.574706,0.495589
6.579706,0.510770
6.584705,0.100971
6.589705,-0.082946
6.594705,-0.286352
6.599704,-0.080782
6.604704,0.281816
6.609704,-0.249127
6.614703,-0.547579
6.619703,0.514139
6.624702,0.016016
6.629702,-0.325155
6.634702,0.043691
6.639701,0.946439
6.644701,0.349746
6.649701,0.085947
6.654700,-0.359455
6.659700,0.614315
6.664700,-0.609991
6.669699,-0.541692
6.674699,-0.066541
6.679698,0.015575
6.684698,0.644752
6.689698,-0.386184
6.694697,0.149653
6.699697,0.743226
6.704697,0.680830
6.709696,-0.147933
6.714696,-0.068347
6.719696,-0.192725
6.724695,0.190996
6.729695,0.823925
6.734694,0.171198
6.739694,-0.124574
6.744694,-0.375305
6.749693,0.999298
6.754693,-0.293676
6.759693,-0.254864
6.764692,0.616719
6.769692,-1.082785
6.774692,0.046717
6.779691,0.217595
6.784691,-0.057077
6.789690,0.692722
6.794690,0.008622
6.799690,0.267965
6.804689,-0.406734
6.809689,-0.039192
6.814689,0.328160
6.819688,0.498781
6.824688,0.254501
6.829688,-0.039841
6.834687,-0.889693
6.839687,-0.631659
6.844687,0.804135
6.849686,0.233271
6.854686,-0.060692
6.859685,-1.613306
6.864685,0.289470
6.869685,-1.034602
6.874684,0.396084
6.879684,-0.649711
6.884684,-0.807633
6.889683,0.010012
6.894683,-0.974463
6.899683,0.356396
6.904682,-0.280508
6.909682,0.107618
6.914681,-0.278972
6.919681,-0.530290
6.924681,-0.238642
6.929680,0.309860
6.934680,0.056788
6.939680,0.474066
6.944679,0.539181
6.949679,-0.170662
6.954679,0.261496
6.959678,-0.083520
6.964678,0.552916
6.969677,-0.447156
6.974677,0.238498
6.979677,-1.252388
6.984676,-0.678483
6.989676,-0.378951
6.994676,-0.045999
6.999675,-0.270279
7.004675,-0.599172
7.009675,-1.140749
7.014674,-0.377002
7.019674,0.102582
7.024673,-0.781082
7.029673,0.107174
7.034673,-0.020985
7.039672,-1.231630
7.044672,0.219700
7.049672,0.533992
